Type,Key,Title,Epic,Milestone,Priority,Labels,AsA,IWant,SoThat,Acceptance,Refs,DependsOn
Epic,SPRINT-0,Sprint 0 — Foundations & setup,,M0 · Sprint 0 — Foundations & setup,,type:epic SPRINT-0 phase:0 area:infra,,,,,,
Story,REPO,Monorepo & solution scaffolding,SPRINT-0,M0 · Sprint 0 — Foundations & setup,P0,type:chore SPRINT-0 phase:0 area:infra,developer,"a scaffolded repo with the API, web, app and shared-package folders, a clean .NET solution, an Angular workspace and a Flutter workspace wired together",everyone builds against one consistent structure and shared code has an obvious home,"Repo layout documented in a top-level README (api/, web/, apps/, packages/, infra/, scripts/). | .NET solution builds; Angular workspace serves; both Flutter app shells run on a simulator. | Shared design-system and API-client packages exist as empty-but-buildable libraries. | Editorconfig, formatter and linter configs committed and enforced locally.","ADR: ADR-0005, ADR-0006",
Story,CICD,"CI/CD pipelines (build, test, deploy)",SPRINT-0,M0 · Sprint 0 — Foundations & setup,P0,type:chore SPRINT-0 phase:0 area:infra,developer,"pipelines that build and test the API, web and apps on every PR and deploy to dev/staging on merge",broken code is caught early and releases are repeatable,"PR pipeline runs build + unit/integration tests for API, web and apps and blocks merge on failure. | Merge to main deploys API + web to the dev environment automatically. | Mobile app builds produce installable artifacts for internal distribution. | Pipeline status is required for merge (branch protection ties in via S0-GOV).",,SPRINT-0/REPO
Story,IAC,Cloud environments & infrastructure-as-code (AU East),SPRINT-0,M0 · Sprint 0 — Foundations & setup,P0,type:chore SPRINT-0 phase:0 area:infra compliance,platform engineer,"dev, staging and prod environments provisioned via IaC, all pinned to Australia East",data residency is guaranteed and environments are reproducible,"IaC provisions compute, Postgres, blob storage and networking in Australia East for each environment. | A non-AU region for any PII/PHI resource fails the IaC policy check. | Environments are isolated (separate data stores, secrets, identities). | Tear-down/re-create of a non-prod environment is a single command.","Compliance: C21 · ADR: ADR-0001, ADR-0016",
Story,DB,Postgres + EF Core baseline & migrations,SPRINT-0,M0 · Sprint 0 — Foundations & setup,P0,type:chore SPRINT-0 phase:0 area:data,backend developer,"a Postgres database with EF Core, a migration pipeline and base entity/columns conventions",every module adds schema consistently and migrations run automatically per environment,EF Core connects to Postgres; migrations apply automatically on deploy. | Base entity convention includes tenant_id and created/updated audit columns. | A sample entity round-trips through repository + migration in tests. | Local dev uses a containerised Postgres seeded by S0-SEED.,ADR: ADR-0002,SPRINT-0/IAC
Story,RLS,Row-level-security multi-tenancy baseline,SPRINT-0,M0 · Sprint 0 — Foundations & setup,P0,type:chore SPRINT-0 phase:0 area:data compliance,platform engineer,"Postgres RLS policies keyed on tenant_id, with EF Core setting the session tenant context on every request","a query can never return another tenant's rows, even on a developer mistake","RLS policies are applied to all tenant-scoped tables. | API middleware sets the session tenant from the authenticated principal on every request. | An integration test proves Tenant A cannot read Tenant B rows and a cross-tenant id returns not-found. | Bypassing tenant context (e.g. background jobs) uses an explicit, audited elevated path.",ADR: ADR-0003 · PRD AC: PRD-01 AC2,SPRINT-0/DB SPRINT-0/SPIKE-RLS
Story,AUTH-STAFF,Staff identity: Entra ID SSO + MFA wiring,SPRINT-0,M0 · Sprint 0 — Foundations & setup,P0,type:chore SPRINT-0 phase:0 area:backend,staff member,to sign in to the web and provider app with my Microsoft 365 account and MFA,I use one secure corporate identity and no extra password,Entra ID app registration configured; web + provider app complete SSO + MFA. | Tokens carry the tenant and a stable user id usable by the API. | Sign-out and token refresh work across web and app. | Sessions are scoped to a single tenant.,ADR: ADR-0004 · PRD AC: PRD-01 AC3,SPRINT-0/SPIKE-AUTH
Story,AUTH-CLIENT,Client identity: Entra External ID (social / email / OTP) wiring,SPRINT-0,M0 · Sprint 0 — Foundations & setup,P0,type:chore SPRINT-0 phase:0 area:backend,client,"to create an account and sign in with social login, email+password, or a one-time code","I can access booking, intake and my records easily and securely","Entra External ID configured for social, local (email+password) and OTP flows. | Client app and public web complete each of the three sign-in methods. | Client identities are tenant-scoped and distinct from staff identities. | Account recovery (password reset / OTP resend) works.",ADR: ADR-0004 · PRD AC: PRD-01 AC3,SPRINT-0/SPIKE-AUTH
Story,API,".NET API skeleton: architecture, tenant context, error model",SPRINT-0,M0 · Sprint 0 — Foundations & setup,P0,type:chore SPRINT-0 phase:0 area:backend,backend developer,"an API skeleton with auth middleware, tenant-context resolution, a standard error/response model and health checks",feature modules are added consistently and cross-cutting concerns are solved once,Auth middleware validates Entra tokens (staff + client) and resolves tenant context for RLS. | Standard problem-details error responses and consistent pagination/filtering conventions. | Health/readiness endpoints and structured request logging in place. | A vertical-slice sample endpoint demonstrates the full pattern end-to-end.,ADR: ADR-0005,SPRINT-0/RLS SPRINT-0/AUTH-STAFF
Story,AUDIT-INFRA,Append-only audit infrastructure baseline,SPRINT-0,M0 · Sprint 0 — Foundations & setup,P0,type:chore SPRINT-0 phase:0 area:data compliance,platform engineer,an append-only AuditEvent store and a simple API/interceptor for modules to record reads and writes,auditability is a built-in default rather than a per-feature afterthought,AuditEvent table is append-only (no update/delete path) and carries who/what/when/tenant. | A reusable interceptor/helper records create/update/read for annotated entities or endpoints. | Events are queryable and exportable (full register UI is PRD-01/PRD-08). | Tampering attempts (update/delete) are rejected at the data layer.,Compliance: C10 · ADR: ADR-0010,SPRINT-0/DB
